,m2,m4,m6,m8,m10,m12,m14,m16,m18,m20,m22,m24,m26,m28,m30,m32,m34,m36,m38,m40,m42,m44,m46,m48,m50,m52,m54,m56,m58,m60,m62,m64,m66,m68,m70,m72,m74,m76,m78,m80,m82,m84,m86,m88,m90,m92,m94,m96,m98,m100,m102,m104,m106,m108,m110,m112,m114,m116,m118,m120,m122,m124,m126,m128,m130,m132,m134,m136,m138,m140,m142,m144,m146,m148,m150,m152,m154,m156,m158,m160,m162,m164,m166,m168,m170,m172,m174,m176,m178,m180,m182,m184,m186,m188,m190,m192,m194,m196,m198,m200
m3070,0.5318474,0.6641877,0.4624979,0.4789277,0.5172574,0.5063921,0.5061926,0.4174459,0.6112448,0.5224517,0.4002222,0.513107,0.59297,0.4420358,0.6052318,0.52446,0.4721441,0.3602032,,0.1861378,0.6251709,0.5172298,0.3827903,0.5252511,0.4769285,0.5061467,0.4856109,,0.4072566,0.6773833,0.5854268,0.5657522,0.5561132,0.5109388,0.5695192,0.532047,0.4948628,0.6199953,0.5807228,0.5588026,0.5366367,0.6618662,0.4282592,0.5802142,,0.5953266,0.4734304,0.0195763,,0.4592192,0.5150842,0.4764488,,0.0856545,0.3977178,0.5413802,,0.3341782,0.3328638,,0.546309,0.9432736,0.4459224,,,0.5765075,,0.5277695,,0.4762838,,0.5568723,0.2219575,0.5087386,0.3769824,0.577166,0.5397473,0.4804185,0.6007149,0.5428066,0.4597793,0.4907097,0.3667689,0.5931448,0.4525268,0.497906,0.4170328,0.490198,0.8118721,0.5943718,0.6858041,0.5953346,0.5199191,0.5046887,0.4493322,,0.4323443,0.5085162,0.5462044,0.2920713
m3071,0.4123547,0.3367067,0.5571909,0.4226733,0.483443,0.3304167,0.5763263,0.5315885,0.4554836,0.3615151,0.4161187,0.3871566,0.5076263,0.619671,0.4840691,0.5188595,0.5240873,0.5048013,0.3924851,0.7520204,0.4141069,0.3700421,0.5225785,0.4257286,0.6207795,0.4127134,0.1537037,,0.6476667,0.3821911,0.6605754,0.2720659,0.3390529,0.4880972,0.3977352,0.6377267,0.4164418,0.3276264,0.425854,0.5053849,0.6501074,0.3140275,0.5548289,0.3943395,,0.3541443,0.6542407,0.393651,,0.2927619,0.2139427,0.4726497,,,0.5658856,0.4850423,0.5844517,0.7276751,0.5474256,,0.4408074,0.4944414,0.5233823,,,0.274147,,,,0.5810454,,0.3673863,0.0996311,0.4274684,0.6786748,0.7075079,0.5217193,0.7737603,0.2135281,0.3272889,0.4780853,0.4892938,0.2109087,0.3567635,0.3707615,0.29078,0.2486249,0.5111128,0.1739001,0.5884333,0.4844561,0.6070927,0.2586831,0.477852,0.453029,,0.6778291,0.347039,0.5397701,0.1612546
m3072,0.5440029,0.3869134,0.5145131,0.5956855,0.4236465,0.3383431,0.4541347,0.4940635,0.4348213,0.3717553,0.4458445,0.4763121,0.5480876,0.6133376,0.5032842,0.5549713,0.5332821,0.5534404,0.2205942,0.5593765,0.5335452,0.3719549,0.3319052,0.3746482,0.5511717,0.590189,0.4412026,,0.611449,0.3871529,0.3938414,0.206295,0.3069143,0.4103827,0.4395801,0.6771506,0.3293901,0.4163499,0.6605478,0.4007742,0.6823267,0.2254948,0.4277939,0.3519276,,0.3767135,0.5826469,0.6024916,0.0860942,0.3668108,0.3070158,0.4081883,0.0772422,0.5261713,0.4874111,0.4271032,0.5710481,0.8123922,0.3244048,,0.4743207,0.3154784,0.2860546,0.7886149,,0.3481439,,0.2495247,,0.3536616,,0.5690987,0.1298042,0.3747412,0.5230243,0.3754393,0.4926049,0.6006202,0.4832472,0.3794836,0.5543613,0.5066031,0.4337143,0.3333568,0.45275,0.3619014,0.3847328,0.5224033,0.5779979,0.5183785,0.423789,0.4718696,0.3859547,0.4971263,0.6447553,,0.5725234,0.4430163,0.4915906,0.2721505
m3073,0.5082553,0.4877726,0.3391832,,0.3203612,0.790308,0.695766,0.6536567,,0.6666945,0.3423418,0.5435603,0.9017389,0.530727,,0.3567391,0.2827212,0.4377301,,,,0.9013008,0.7784399,0.6487906,0.3134223,0.3695318,,,0.1999915,0.4480857,0.6970843,,,,0.5946292,,,0.6620797,,,,,0.5360755,,,,0.6179848,0.014115,,,0.9670429,0.27645,,,0.3646309,0.1598593,,,,,,,,,,,,,,0.5465516,,0.110066,,,0.406126,,0.4957009,,0.7398731,0.6295718,0.8164851,0.2740566,,0.8306992,0.3088651,0.8938325,,0.0893962,,,,,0.9791406,0.50631,0.6798545,,0.2685831,0.5448302,0.5166724,
m3074,0.286938,0.3706843,0.5958284,0.6404759,0.5176699,0.2881751,0.4291222,0.6713177,0.492453,0.4063607,0.4840333,0.3442414,0.4454271,0.2878529,0.4284044,0.5374601,0.5266453,0.4930618,,0.563387,0.244537,0.5987098,0.4076776,0.5130705,0.627803,0.4569006,0.0878831,,0.4863285,0.5050231,0.5530815,0.3440046,0.3402141,0.1159762,0.4182919,0.4703545,0.8942258,0.2726356,0.3764822,1.0,0.3812677,,0.5574264,0.2957095,,0.2810055,0.6308205,,,0.3687435,0.2980977,0.5102198,,,0.6288271,0.4309984,,0.370314,0.9626811,,0.3710753,0.4522848,0.3689116,,,0.25256,,,,0.4734932,,0.41223,0.07814,0.2191203,0.5398666,0.7317031,0.4969336,0.2666059,0.4657856,0.3402887,0.5519944,0.4552769,0.4393367,0.3934672,0.3268586,0.3769897,0.0232826,0.5671617,0.1398988,0.5119597,0.7014595,0.4815726,0.3705829,0.2689349,0.5571603,,0.2989878,0.4375942,0.3893282,0.1328825
m3075,0.4227431,0.2843465,0.5856097,,0.4635247,0.2771665,0.4855446,0.6304013,0.212089,0.1114379,0.2687027,0.1748569,0.4158885,0.6031838,0.51054,0.5693575,0.5867886,0.5981122,,,0.5171004,0.3835232,0.2065442,0.8568292,0.6257945,0.3763074,,,0.7180445,0.5599625,0.3334967,,0.4438812,0.3375168,0.4833157,0.7572823,0.6889784,0.18572,0.8484868,0.5843787,0.4846483,,0.2117427,0.1334082,,0.3476393,0.6385904,,,0.154597,0.0638413,0.3598872,,,0.575951,0.2425232,,0.2929258,,,,,,,,0.1805178,,,,0.2777099,,0.361339,,0.1160324,0.5858878,0.4151605,0.7112569,0.4488527,0.6196696,0.2934622,0.6840803,0.3911218,0.1640424,0.1157891,0.1961926,0.327437,,0.7772885,0.493746,0.3990507,,0.3165689,0.1785012,0.2287954,0.7898867,,0.5372573,0.2651238,0.347371,
m3076,0.4738438,0.8231086,0.4804526,,0.5897434,0.3494265,0.5463202,0.4592716,0.6967393,0.4197001,0.3196574,0.6245439,0.6200102,0.6669788,0.903077,0.5230691,0.6136483,0.3641682,,,0.3259496,0.4254184,0.648858,0.3481731,0.4520541,0.5224001,,,0.5476666,0.3884957,0.5597306,,,0.5766014,0.3799166,0.3974986,0.3732325,0.5522417,,0.3832552,0.2047919,,0.734336,,,0.8672674,0.2910126,,,0.5013781,0.6404834,0.3015628,,,0.6130178,0.4767898,,,0.2066778,,0.4623255,,0.3445954,,,0.5547092,,,,0.3775255,,0.3416958,,0.4170871,0.6317702,,0.5591757,0.8411245,0.3564296,0.3264147,0.4495261,0.6815446,0.9797527,0.4205784,0.4071499,0.4724548,,0.3965844,0.9101231,0.6205506,0.8706683,,0.432867,0.7525153,0.2385943,,0.3864459,0.5593653,0.3120457,
m3077,0.1759775,0.0673911,0.630393,,0.6167468,,0.7184353,0.5440868,0.3042124,0.5585514,0.2106654,0.2734822,,0.7207205,0.5379194,0.7427032,0.7026421,0.7142231,,0.0427023,0.1662096,,0.127722,0.0772005,0.63393,0.5616896,,,0.5303296,0.5175457,0.3385006,,,0.7010947,0.4014604,0.9073697,0.2363128,,1.0,0.4830184,0.4518287,0.8119223,0.2497019,0.3403154,,,0.6444645,,,0.1175429,,0.2533709,,,0.3869872,0.3913259,,0.8234004,,,,,,0.6053468,,0.1114893,,0.932993,,0.5875982,,0.4106247,,,0.4734152,0.1575399,0.3763306,0.556978,0.3867068,0.0511664,0.739751,0.5661854,0.6161794,0.0929977,0.2483014,0.1625897,0.5408664,0.5586244,,0.3106814,,,0.1482387,0.1342045,0.6592272,,0.6691103,0.3010985,0.4484549,
m3078,0.5159042,0.6886748,0.64197,0.1761458,0.5909891,0.5173619,0.5543442,0.7084893,0.3037342,0.4409829,0.6085962,0.5708749,0.7083612,0.5656286,0.1702702,0.5111202,0.5380541,0.4859042,0.2704198,0.4520853,0.6147317,0.24321,0.5324995,0.3497152,0.5600133,0.570681,0.12579,,0.5726533,0.618854,0.6999172,0.6156319,,0.382167,0.5061165,0.5564233,0.3259686,0.2821103,0.6375614,0.565208,0.4872273,0.5906641,0.6252634,0.4216656,,0.5329889,0.5375617,,0.2042938,0.64011,0.2770871,0.5173617,,,0.5767816,0.6685544,,0.7895992,0.7036565,,0.1170994,0.6679828,0.3088778,,,0.2444013,,,,0.5817568,,0.5837482,,0.6319666,0.4695561,0.4105593,0.5033578,0.7633176,0.4218608,0.2647359,0.3549017,0.5280231,0.6931747,0.4508329,0.4410537,0.394465,0.1443822,0.4522956,,0.5391087,0.6938139,0.6779159,0.3432871,0.6213304,0.2521607,,0.4662716,0.3624908,0.3547872,
m3079,0.4524819,0.3558154,0.4607564,0.1018739,0.4161861,0.1405823,0.4464747,0.5407334,0.4866013,0.5198417,0.446154,0.5127964,0.4384443,0.8037084,0.598343,0.649194,0.5462643,0.626176,0.1328952,0.794889,0.4031856,0.424723,0.4469028,0.3844733,0.6046512,0.5243979,0.301387,,0.6312064,0.5837348,0.4970254,0.3718011,0.4527149,0.6585589,0.2883844,0.6277211,0.3546457,0.7811664,0.4706644,0.4534896,0.6974976,0.1039578,0.5347227,0.473434,,0.2998141,0.5296794,0.5709804,,0.4577876,0.1657937,0.5510054,,,0.6141135,0.3683473,,0.6721202,0.5313493,,0.384364,,0.4151646,,,0.6007641,,,,0.4561225,,0.4025567,0.2190676,0.2277559,0.633548,0.8868747,0.6218096,0.2945402,0.3250803,0.3531809,0.3938544,0.4188824,0.3345416,0.4515759,0.6156105,0.3828094,0.3193001,0.3293941,0.8505329,0.4674639,0.2061056,0.968588,0.23736,0.4203003,0.4728978,,0.6615539,0.335825,0.2290456,0.3288567
m308,0.2963404,0.4252758,0.5882549,0.6969538,0.4239715,0.3901835,0.6255204,0.5884483,0.4992091,0.2287184,0.5160485,0.4670195,0.6215147,0.5288204,0.6651257,0.6693835,0.5349629,0.641844,,0.6372338,0.4090072,0.3400911,0.4110882,0.1904824,0.6648112,0.5770456,,,0.7440358,0.2021032,0.4120349,0.4732282,0.0136434,0.3080894,0.4107316,0.6866909,0.356676,0.4998593,0.277957,0.8009043,0.7862612,0.4807243,0.6014886,0.4013911,,0.5177293,0.6729194,0.620903,,0.4394538,0.4210394,0.4474529,0.9277671,,0.5102505,0.4717819,0.7705726,0.4883091,0.3437775,,0.1732564,0.3271674,0.3578818,,,0.2868827,,0.4194988,,0.5815477,,0.5318751,,0.4375306,0.5098071,0.3156881,0.6314815,0.4865092,0.278911,0.1879736,0.6431705,0.5029659,0.2372258,0.3476088,0.5532134,0.2211465,0.201097,0.692496,0.6991921,0.4708665,0.4816558,0.7741991,0.3110341,0.2921173,0.5733465,,0.7852463,0.3522666,0.5057441,
m3081,0.4814212,0.5249401,0.5371697,0.4327249,0.5174503,0.3211262,0.6500745,0.5946841,0.5734122,0.334761,0.4621713,0.5250113,0.5496369,0.5578967,0.484994,0.5465795,0.4823971,0.5350938,0.4138086,0.4762024,0.469126,0.4768174,0.5658738,0.5450202,0.5548004,0.5936943,0.4096612,0.0887153,0.3954732,0.4780714,0.5596091,0.5044696,0.2732534,0.5269828,0.5747911,0.5462679,0.4524688,0.450673,0.4342647,0.4609726,0.5609704,0.5022819,0.4860785,0.4189284,,0.4015122,0.4560778,0.601327,0.1293216,0.4543352,0.3067642,0.5488445,0.0721691,0.9563376,0.546064,0.5009671,,0.5987491,0.5169908,,0.37827,0.1244546,0.3443547,0.2534236,,0.473194,,,,0.4917868,,0.4766724,0.4278857,0.5386161,0.4830864,0.5289545,0.5207402,0.6004976,0.5113234,0.416309,0.4702324,0.5335659,0.3388379,0.4988984,0.4417216,0.3866402,0.2678424,0.5387147,0.4109754,0.5996921,0.3948749,0.7963641,0.4694772,0.3974342,0.419805,,0.4985755,0.4356458,0.5485089,0.2984092
m3082,0.5810757,0.5304924,0.4246587,0.4295925,0.751401,0.6255214,0.5116168,0.4295864,0.5256127,0.4633242,0.5423257,0.5095751,0.449445,0.5219566,0.5754607,0.391992,0.3868773,0.3737241,0.3151717,0.3328812,0.5904956,0.5362916,0.6140218,0.5944053,0.3865443,0.4387852,0.3883452,0.6956751,0.3480913,0.4851079,0.5254758,0.5436241,0.5004455,0.6629845,0.5816364,0.2108893,0.6306615,0.6142696,0.5533695,0.7018081,0.2530279,0.9168812,0.5869836,0.5991588,,0.541941,0.4443797,0.5096158,0.9479653,0.5951284,0.5826505,0.551307,,,0.4606176,0.5823068,0.7658053,0.3148923,0.7695418,,0.5115433,0.3914564,0.4116458,,,0.5997287,,,,0.6109637,,0.4395295,0.3125642,0.1236407,0.468976,0.5298668,0.326524,0.6734224,0.6091585,0.5847069,0.4157888,0.4889079,0.5275973,0.5851036,0.4743222,0.5074805,0.4717706,0.377941,0.2810874,0.450199,0.8711997,0.5395178,0.492264,0.5774294,0.3538936,,0.5614091,0.552959,0.5317414,0.679538
m3083,0.4135419,0.3407797,0.5533269,0.3820089,0.325667,0.082313,0.3478496,0.493239,0.3121072,0.3431262,0.5325079,0.4477406,0.2762502,0.6225772,0.5661761,0.5624927,0.6250619,0.6721067,,0.9648364,0.3336136,0.3618646,0.4445205,0.4635502,0.7056174,0.548557,,,0.6379957,0.5611716,0.2913971,0.1881044,0.1965046,0.6648126,0.3743771,0.735805,0.249222,0.3351588,0.2847585,0.6043641,0.7420738,0.1255436,0.4006207,0.3430657,,0.2334005,0.5878756,0.5054285,0.1820511,0.4263037,0.1232982,0.3710753,0.9128869,0.9311403,0.4375295,0.4969176,0.1622418,0.6783733,0.3549951,,0.2180669,0.762264,0.433282,0.565849,,0.5033357,,0.5855842,,0.3727829,,0.5115609,,0.1924823,0.5523759,0.3891615,0.5696135,0.5823759,0.3650251,0.3014616,0.5845686,0.6183831,0.4939227,0.3178878,0.3785493,0.3323432,0.0436494,0.4747532,0.4444116,0.616816,0.201311,0.6881937,0.2647499,0.4298258,0.5416872,,0.6426167,0.3134636,0.4433696,
m3084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m3085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m3086,0.4433179,0.4281494,0.4312814,,0.5241458,0.4517983,0.1473727,0.5843404,0.2842034,0.1446818,0.5790202,0.3850245,0.2477328,0.6811735,0.57959,0.5134432,0.5638266,0.5132765,,,0.3481189,0.3780688,0.4256165,0.7961281,0.5250301,0.6113926,,,0.6980323,0.3959618,0.4017336,0.5319929,0.2426633,,0.3919097,,0.1370267,0.3846851,0.6840234,,0.6929646,,0.6418626,0.1709775,,0.3198155,0.5698812,,,0.4228349,0.3350934,0.6675576,,,0.5586613,0.7432097,,0.4393319,0.244344,,0.4803108,,0.2347238,,,0.3393012,,,,0.5090342,,0.3586056,,0.0084089,0.5734776,0.211121,0.4601963,0.7466767,0.2725067,0.2142737,0.5334986,0.5029055,0.2819203,0.4509474,0.4708169,0.2903923,0.176472,0.8315671,,0.6017752,0.1093405,0.4720085,0.2443942,0.4541318,0.5019532,,0.642412,0.3195102,0.6134665,
m3087,0.5102214,0.4906072,0.5593314,0.4649055,0.538916,0.5016113,0.4482421,0.5755734,0.5892197,0.4008562,0.5124542,0.5146551,0.6095402,0.6090606,0.5361396,0.5038257,0.4444986,0.4270021,0.5815659,0.1097165,0.429318,0.5100962,0.5082662,0.5344048,0.5042641,0.5220498,0.3689349,,0.4167693,0.5225021,0.5183025,0.5719325,0.4406779,0.3967628,0.5817343,0.3639293,0.3531147,0.5397703,0.527964,0.1576247,0.3862054,0.9306765,0.5486814,0.5675799,,0.4270962,0.4989997,0.0298285,,0.571584,0.4376133,0.5595198,0.1462925,,0.5556306,0.4864741,0.3337691,0.2099368,0.5289976,,0.4119331,0.3505897,0.407731,,,0.4353067,,0.2990747,,0.4253064,,0.5755656,0.2655931,0.5334984,0.4727499,0.525667,0.3950501,0.5929248,0.4641726,0.4775282,0.4442521,0.4484555,0.464247,0.5374804,0.546022,0.452058,0.4775728,0.4681352,0.638412,0.5766375,0.3837003,0.5271062,0.4930423,0.4475832,0.3909154,,0.4520042,0.4708643,0.5552768,0.8297726
m3088,0.3510114,0.437742,0.5386682,0.4493098,0.4250025,0.3221676,0.5492559,0.6696355,0.4008426,0.187266,0.457757,0.4450793,0.52547,0.5945383,0.6133739,0.6088254,0.6471412,0.6401062,,0.2508644,0.2515461,0.2208296,0.4662567,0.3411789,0.7037792,0.4880052,0.1752127,,0.6083163,0.4366642,0.5092213,0.2040631,0.3430277,0.4478617,0.3270596,0.4218896,0.253039,0.371851,0.5999569,0.112571,0.6351131,0.5546611,0.6480371,0.1777851,,0.2091963,0.6008094,0.8528087,,0.3437416,0.1745548,0.3748405,,,0.6146441,0.504402,,0.5319141,0.195459,,0.3649841,0.35654,0.1850384,,,0.3069207,,0.7519458,,0.3998276,,0.399807,0.0547724,0.1394301,0.6297322,0.4883682,0.4378535,0.3999487,0.3327212,0.2840047,0.6369259,0.5961725,0.2177498,0.3240123,0.2777065,0.2887983,0.1474873,0.710966,0.4995301,0.5217407,0.1005556,0.5370741,0.3119038,0.4553953,0.7288822,,0.6598727,0.2686457,0.3790561,0.3010812
m3089,0.3333201,0.2005709,0.5901103,,0.361661,0.2113005,0.4134916,0.5605367,0.3521008,0.203085,0.1967171,0.2450657,0.6155077,0.5952922,0.6337584,0.5821212,0.6533726,0.6822633,,0.9328149,0.2272797,0.1921397,0.1678263,0.4602082,0.7013449,0.5422711,,,0.6363664,0.4275233,0.4852264,0.1916021,0.1961017,0.3574262,0.3351024,0.481843,0.0333527,0.2217545,0.6190684,0.5779489,0.6429568,0.2594862,0.4033232,0.2061829,,0.2691998,0.6203354,0.5310111,,0.1940864,0.0731544,0.3399198,,,0.5135818,0.5267456,,0.6915698,0.3958881,,0.1282576,0.7862021,0.3824852,0.9663554,,0.1504477,,0.6496845,,0.1637244,,0.3008815,,0.2991128,0.6945196,0.4380469,0.5309244,0.2878403,0.2143044,0.2590077,0.7689261,0.4191643,0.1312446,0.2118288,0.2595276,0.2011796,0.3889969,0.6506146,0.3169768,0.248719,0.1694703,0.4383073,0.1370888,0.2456449,0.4154214,,0.5218346,0.2140676,0.4418421,
m309,0.2710152,0.4341306,0.5165496,,0.4218709,,0.1864765,0.380179,0.3712084,,0.424089,0.5563859,0.3951032,0.583912,0.7904404,0.4812358,0.4441626,0.7075763,,0.4922685,0.6378977,,0.3095879,0.6949767,0.5420659,0.3092861,,,0.6941045,0.4112048,0.2932627,,,,0.5802695,,,0.8454156,0.9338615,0.7710796,0.6626079,0.0094632,0.6466222,0.3525139,,0.1133069,0.6464825,,,0.5159711,0.7315841,0.2791549,,,0.4811419,0.6547987,,,,,,0.1911003,,,,0.3828979,,,,0.5237297,,,,0.2689777,0.4648544,,0.287313,0.6491981,0.0336057,0.700608,0.3859995,0.7756958,,0.1149239,0.7332526,0.5337312,,,,0.4855701,0.0062528,0.6502195,,0.1488605,0.0750476,,0.8615977,0.6289632,0.6947116,
m3090,0.286796,0.0872135,0.5004887,0.7753071,0.501757,0.2218514,0.49124,0.4964817,0.2423702,0.0588703,0.3275985,0.4120701,0.3684133,0.6736905,0.5297242,0.5678539,0.5707861,0.6648957,,0.7670822,0.3766032,0.1499293,0.2649024,0.2345883,0.6712868,0.3568438,,,0.6877108,0.4159622,0.3815534,0.2014589,,0.4722852,0.3524392,0.9155994,0.4996897,0.2621621,0.8614727,0.5716914,0.6311625,0.1247657,0.4684282,0.266506,,0.2408983,0.571523,,0.2892142,0.1873621,0.0969482,0.317669,,,0.5034334,0.4650027,,0.2274865,,,0.151633,0.1450945,0.4682281,,,0.3278138,,0.1203922,,0.4117091,,0.4114932,0.0352123,0.4310344,0.5223926,0.3900655,0.6752585,0.4371618,0.2704332,0.3338266,0.6616223,0.6554375,0.2098558,0.2531286,0.2952675,0.2187653,0.6681847,0.5938953,0.2042692,0.4388055,0.3980087,0.3539614,0.286314,0.244834,0.5710119,,0.4594521,0.488311,0.4257145,0.1343143
m3091,0.301559,0.0885206,0.6013593,0.0498504,0.3243495,0.1374446,0.5886602,0.5491222,0.4243783,0.3081164,0.3156739,0.2976477,0.3017232,0.6238037,0.6529623,0.6041207,0.6510168,0.7119803,,,0.2945453,0.2605579,0.3277373,0.4468572,0.6386674,0.5838806,,,0.3913965,0.4419474,0.4578645,,0.1011532,0.2458894,0.2391985,0.5086911,,0.2610117,0.6331272,0.4515482,0.3287667,0.0002995,0.3875811,0.081335,,0.7477121,0.4716295,,,0.3148832,0.0708171,0.4458796,,,0.6342987,0.4226003,0.035374,0.8567958,,,0.2785743,,,,,0.3351185,,,,0.2298668,,0.4247689,0.2073498,,0.672044,0.9374947,0.4475535,0.7370567,0.4395974,0.21247,0.530277,0.4926374,0.3351241,0.2496404,0.2618551,0.3317494,0.04755,0.5960187,0.20498,0.6801663,,,,0.5099584,0.5403036,,0.5518779,0.1968869,0.4069362,
m3092,0.3689508,,0.4017782,,0.2872292,,,0.8643648,0.4470962,,,0.8516779,,,0.9612176,0.5820007,0.8275661,0.9089469,,,0.1071085,0.4515575,,0.4026214,0.6560963,0.537197,,,0.6644315,0.4755207,0.3210601,,,,0.6363921,,,0.1914982,,,,,,,,,,,,,,0.7435551,,,0.6244982,0.0208389,,,,,,,0.0816749,,,,,,,,,0.8610893,,,0.7211008,,,,0.005023,0.1345523,0.9132587,,,0.172634,,0.4282584,,,,,,,,,,,,0.052698,0.184017,
m3093,0.3537994,0.3801937,0.5181562,,0.4392346,0.4006458,0.4183466,0.5348261,0.1935813,0.2320677,0.3330952,0.5158625,0.185111,0.632934,0.54856,0.6082484,0.5403544,0.712168,,0.7044104,0.4311064,0.2984531,0.2655113,0.5506858,0.4910609,0.441205,,,0.5408111,0.5258535,0.2656465,0.6327512,,0.2459412,0.3304886,0.6016825,0.1611103,0.2414467,0.8198817,0.6089053,0.6404279,0.0750584,0.3743292,0.3263645,,0.4718862,0.4627961,0.862577,,0.3274559,0.170033,0.4479005,,,0.3768378,0.68378,,0.3104123,0.0975572,,0.502987,,0.8057426,,,0.3422602,,,,0.2810385,,0.2534757,0.590743,0.53212,0.3883823,0.3071099,0.5938634,0.6929765,0.5836856,0.4691632,0.6826477,0.4787427,0.1419379,0.5145559,0.3947921,0.496044,,0.7281208,0.2329416,0.3440308,0.2845813,0.1364952,0.3251555,0.4906181,0.928679,,0.524055,0.3018104,0.3267009,
m3094,0.4296577,0.2109747,0.4386633,,0.3459124,0.3293125,0.395765,0.5289611,0.591203,0.3883835,0.2791139,0.3155736,0.79727,0.6395265,0.7089615,0.4582259,0.5608306,0.5156256,,0.4132071,0.246004,0.4748995,0.4436912,0.655191,0.5166488,0.6616069,,,0.5011418,0.7535322,0.5121016,0.4007062,0.3714015,0.4074349,0.5105689,0.6666078,0.3348766,0.2398973,0.5103688,0.2430499,0.3030242,0.4651615,0.5765066,,,0.182471,0.4870535,0.8168551,,0.4425831,0.5955892,0.3874028,,,0.5147891,0.3630118,0.385874,,0.2322906,,0.2121408,,,,,0.146077,,,,0.0783355,,0.4278531,,0.3081103,0.5281186,0.4064972,0.7148937,0.3118104,0.3738746,0.4303034,0.5876296,0.4831781,0.3554176,0.3998572,0.3043717,0.4235865,,0.5992798,0.4229512,0.3369861,0.1505734,0.3161787,0.3809125,0.3517282,0.6533704,,0.5793904,0.3168547,0.435998,
m3095,0.3525182,0.3344201,0.5202308,0.3446716,0.4337916,0.2667984,0.593886,0.5482244,0.404102,0.1623489,0.3332608,0.4346825,0.4049295,0.5393205,0.6204267,0.600216,0.6320683,0.6448294,0.3648756,0.6534551,0.346618,0.2556475,0.2992258,0.3928859,0.669622,0.4762054,0.0223452,,0.691411,0.3911872,0.5306826,0.2573854,0.2345069,0.4553368,0.2770125,0.6328094,0.5497567,0.3303515,0.6826,0.4741153,0.5837792,0.2563798,0.5843466,0.2460096,,0.3718931,0.7354594,0.7627292,0.0066586,0.356444,0.2141529,0.3977738,,,0.5857639,0.4705413,,0.6267564,0.504253,,0.2922942,0.2011981,0.3633318,0.6685429,,0.2009481,,0.2709633,,0.4153166,,0.407347,0.2916478,0.2650337,0.6544856,0.2837434,0.4611183,0.3776137,0.2434385,0.2535121,0.6259437,0.5251525,0.2192869,0.2864304,0.3147851,0.3131511,0.124824,0.6589979,0.5058356,0.437254,0.4565814,0.2123021,0.3684426,0.4594977,0.6341071,,0.3935309,0.304828,0.4039462,0.1222214
m3096,0.5396958,0.3113184,0.3690223,0.7242454,0.7053791,0.3458187,0.7571342,0.5844681,0.3239804,0.6686784,0.4982161,0.5873897,0.6536012,0.8629577,0.8050234,0.6792637,0.6345824,0.557013,,,0.5495719,0.2611665,0.2404803,0.4324557,0.5890789,0.492262,,,0.3594683,0.4241598,0.3118503,0.3689144,0.189771,0.0792827,0.3836242,0.180983,0.3006043,0.5425344,0.1838614,0.8329048,0.3031702,,0.886121,0.1670823,,0.1564987,0.5739805,,,0.2922759,,0.2136939,,,0.7003964,0.2818242,,,,,0.1718092,,0.0168863,,,0.2383206,,0.55388,,0.4158606,,0.3904798,,0.2721264,0.6531403,0.3022402,0.3983727,,0.3784816,0.152814,0.7350817,0.7556303,0.525011,0.3262074,0.4169303,0.1732452,0.1326093,0.544555,0.7220957,0.3791745,0.1182692,0.3856525,0.3862425,0.287057,0.7365056,,0.5610051,0.43513,0.4567494,
m3097,0.4709903,0.5795364,0.5143829,0.0829514,0.41202,0.3072482,0.5304869,0.5134102,0.3721178,0.0711114,0.6684198,0.3068946,0.259592,0.6354916,0.4003645,0.5431285,0.5779541,0.5788125,,,0.6835815,0.142577,0.1622209,0.265155,0.6180589,0.5021273,,,0.6373417,0.4011747,0.4325223,0.1541125,,0.4021479,0.399012,0.4821265,0.1982307,0.3999926,0.8335122,0.6572872,0.649375,,0.5258796,0.1172516,,0.2440037,0.5512122,0.6574556,,0.3482661,0.0845145,0.3643438,,,0.5411209,0.6034973,,0.2728916,0.2001631,,0.2103545,,0.3546561,,,0.0792704,,,,0.21597,,0.3844379,0.6019425,0.2037007,0.6491972,0.3819319,0.5665593,0.4423217,0.3958871,0.4296084,0.618386,0.4340898,0.0244509,0.2794545,0.3662899,0.3274596,0.0895348,0.7762884,0.8117066,0.5041595,0.6301516,0.7372324,0.3449234,0.4619632,0.6706507,,0.7694006,0.3132981,0.2490401,
